n_pairs	n_pos	aupr	auroc	perm_p	tissue	method
216	107	0.5339182441638296	0.5261082054359941	0.21878121878121878	lung	pearson_coexpr
216	107	0.5302988717039996	0.5251650518734459	0.24875124875124874	lung	spearman_coexpr
216	107	0.5463668664212311	0.5503729743633714	0.13586413586413587	lung	distance_correlation
216	107	0.6524528825054707	0.6398868215724942	0.000999000999000999	lung	partial_correlation
216	107	0.49249521291954557	0.5207922489925405	0.6893106893106893	lung	mutual_information
216	107	0.4918856290319712	0.5106319128869073	0.7082917082917083	lung	clr
216	107	0.5000865351332641	0.4864957558089685	0.5024975024975025	lung	aracne
216	107	0.5113949824291683	0.5109320072022636	0.2857142857142857	lung	lasso
216	107	0.5170735985911393	0.5234502272142673	0.2897102897102897	lung	elasticnet
216	107	0.5451108456474281	0.5573180142330446	0.13086913086913088	lung	grnboost2
216	107	0.5335903246628251	0.5284232187258853	0.22477522477522477	lung	genie3
